REGIONAL,ANO,MES,QUANTIDADE DE CHAMADOS,SLA DENTRO DO PRAZO,SLA FORA DO PRAZO,PORCENTAGEM SLA DENTRO DO PRAZO,PORCENTAGEM SLA FORA DO PRAZO
Barra da Tijuca,2015,1,3,3,0,100.0,0.0
Barra da Tijuca,2015,2,29,29,0,100.0,0.0
Barra da Tijuca,2015,3,5,5,0,100.0,0.0
Barra da Tijuca,2015,4,117,117,0,100.0,0.0
Barra da Tijuca,2015,5,1858,1858,0,100.0,0.0
Barra da Tijuca,2015,6,2682,2682,0,100.0,0.0
Barra da Tijuca,2015,7,3057,3057,0,100.0,0.0
Barra da Tijuca,2015,8,2729,2729,0,100.0,0.0
Barra da Tijuca,2015,9,3216,3216,0,100.0,0.0
Barra da Tijuca,2015,10,2895,2895,0,100.0,0.0
Barra da Tijuca,2015,11,2621,2621,0,100.0,0.0
Barra da Tijuca,2015,12,3223,3214,9,99.72,0.28
Barra da Tijuca,2016,1,4189,3898,291,93.05,6.95
Barra da Tijuca,2016,2,3305,3257,48,98.55,1.45
Barra da Tijuca,2016,3,4636,3980,656,85.85,14.15
Barra da Tijuca,2016,4,4205,2641,1564,62.81,37.19
Barra da Tijuca,2016,5,3714,2852,862,76.79,23.21
Barra da Tijuca,2016,6,3870,2950,920,76.23,23.77
Barra da Tijuca,2016,7,4187,3230,957,77.14,22.86
Barra da Tijuca,2016,8,5326,4573,753,85.86,14.14
Barra da Tijuca,2016,9,4940,4265,675,86.34,13.66
Barra da Tijuca,2016,10,6513,3442,3071,52.85,47.15
Barra da Tijuca,2016,11,3966,2498,1468,62.99,37.01
Barra da Tijuca,2016,12,3292,2239,1053,68.01,31.99
Barra da Tijuca,2017,1,6439,3214,3225,49.91,50.09
Barra da Tijuca,2017,2,3551,2819,732,79.39,20.61
Barra da Tijuca,2017,3,6495,3622,2873,55.77,44.23
Barra da Tijuca,2017,4,4579,3149,1430,68.77,31.23
Barra da Tijuca,2017,5,5115,3935,1180,76.93,23.07
Barra da Tijuca,2017,6,6158,4856,1302,78.86,21.14
Barra da Tijuca,2017,7,6002,5005,997,83.39,16.61
Barra da Tijuca,2017,8,6944,5388,1556,77.59,22.41
Barra da Tijuca,2017,9,5542,4427,1115,79.88,20.12
Barra da Tijuca,2017,10,6302,4984,1318,79.09,20.91
Barra da Tijuca,2017,11,4631,4288,343,92.59,7.41
Barra da Tijuca,2017,12,4159,3718,441,89.4,10.6
Barra da Tijuca,2018,1,5080,4219,861,83.05,16.95
Barra da Tijuca,2018,2,5360,4029,1331,75.17,24.83
Barra da Tijuca,2018,3,4739,4141,598,87.38,12.62
Barra da Tijuca,2018,4,3754,3112,642,82.9,17.1
Barra da Tijuca,2018,5,4301,3136,1165,72.91,27.09
